longitude,latitude,region_id,region_name,municipality_id,municipality_name,census_block,typology,number_dwellings,number_buildings,avg_dwellings_per_building,avg_number_storeys,avg_floor_area_dwelling(m2),avg_floor_area_building(m2),total_area(m2),replace_cost_per_building_area(USD/m2),replace_cost_per_building_area(LocalCurrency/m2),replace_cost_per_building(USD),replace_cost_per_building(LocalCurrency),total_replace_cost(USD),total_replace_cost(LocalCurrency),occupants_per_dwelling,occupants_per_building,total_occupants,is_urban,
-72.06660,-45.57080,11,Región de Aysén,11101,Coihaique,11101011001014,18,0.03,0.03,1.00,,,,,,,1280.00,,36.11,,2.03,2.03,0.06,True
-72.06536,-45.57043,11,Región de Aysén,11101,Coihaique,11101011001015,1,0.01,0.01,1.00,1.67,159.00,159.00,1.00,339.43,,53969.89,,338.37,,2.91,2.91,0.02,True
-72.06536,-45.57043,11,Región de Aysén,11101,Coihaique,11101011001015,2,0.13,0.00,42.50,6.00,54.25,2305.50,7.23,339.43,,782563.49,,2453.18,,2.31,98.33,0.31,True
-72.06536,-45.57043,11,Región de Aysén,11101,Coihaique,11101011001015,5,0.20,0.20,1.00,1.90,169.35,169.35,34.60,214.48,,36323.37,,7420.29,,2.91,2.91,0.59,True
-72.06536,-45.57043,11,Región de Aysén,11101,Coihaique,11101011001015,6,0.57,0.57,1.00,1.59,150.04,150.04,84.79,214.48,,32181.63,,18185.86,,2.91,2.91,1.64,True
-72.06536,-45.57043,11,Región de Aysén,11101,Coihaique,11101011001015,7,0.85,0.85,1.00,2.00,159.70,159.70,136.50,214.48,,34252.49,,29276.91,,2.91,2.91,2.48,True
-72.06536,-45.57043,11,Región de Aysén,11101,Coihaique,11101011001015,8,0.51,0.51,1.00,1.72,154.15,154.15,78.24,214.48,,33062.60,,16780.54,,2.91,2.91,1.48,True
-72.06536,-45.57043,11,Región de Aysén,11101,Coihaique,11101011001015,15,10.92,10.92,1.00,1.73,64.11,64.11,699.89,168.40,,10796.20,,117861.34,,2.96,2.96,32.28,True
-72.06536,-45.57043,11,Región de Aysén,11101,Coihaique,11101011001015,16,0.20,0.20,1.00,,,,,,,1280.00,,260.82,,2.36,2.36,0.48,True
-72.06536,-45.57043,11,Región de Aysén,11101,Coihaique,11101011001015,18,0.03,0.03,1.00,,,,,,,1280.00,,36.11,,2.03,2.03,0.06,True
-72.06407,-45.57107,11,Región de Aysén,11101,Coihaique,11101011001018,1,0.01,0.01,1.00,1.67,159.00,159.00,1.00,339.43,,53969.89,,338.37,,2.91,2.91,0.02,True
-72.06407,-45.57107,11,Región de Aysén,11101,Coihaique,11101011001018,2,0.13,0.00,42.50,6.00,54.25,2305.50,7.23,339.43,,782563.49,,2453.18,,2.31,98.33,0.31,True
-72.06407,-45.57107,11,Región de Aysén,11101,Coihaique,11101011001018,5,0.01,0.01,1.00,1.90,169.35,169.35,2.14,214.48,,36323.37,,458.31,,2.91,2.91,0.04,True
-72.06407,-45.57107,11,Región de Aysén,11101,Coihaique,11101011001018,6,0.03,0.03,1.00,1.59,150.04,150.04,5.24,214.48,,32181.63,,1123.24,,2.91,2.91,0.10,True
-72.06407,-45.57107,11,Región de Aysén,11101,Coihaique,11101011001018,7,0.05,0.05,1.00,2.00,159.70,159.70,8.43,214.48,,34252.49,,1808.28,,2.91,2.91,0.15,True
-72.06407,-45.57107,11,Región de Aysén,11101,Coihaique,11101011001018,8,0.03,0.03,1.00,1.72,154.15,154.15,4.83,214.48,,33062.60,,1036.45,,2.91,2.91,0.09,True
-72.06407,-45.57107,11,Región de Aysén,11101,Coihaique,11101011001018,15,6.92,6.92,1.00,1.73,64.11,64.11,443.45,168.40,,10796.20,,74676.52,,2.96,2.96,20.45,True
-72.06407,-45.57107,11,Región de Aysén,11101,Coihaique,11101011001018,16,0.20,0.20,1.00,,,,,,,1280.00,,260.82,,2.36,2.36,0.48,True
-72.06407,-45.57107,11,Región de Aysén,11101,Coihaique,11101011001018,18,0.03,0.03,1.00,,,,,,,1280.00,,36.11,,2.03,2.03,0.06,True
-72.06669,-45.57148,11,Región de Aysén,11101,Coihaique,11101011001020,1,0.01,0.01,1.00,1.67,159.00,159.00,1.00,339.43,,53969.89,,338.37,,2.91,2.91,0.02,True
